"Reporting starts","Reporting ends","Campaign name","Campaign delivery","Attribution setting",Reach,"CPM (cost per 1,000 impressions) (EGP)",Impressions,Frequency,"Ad set budget","Ad set budget type",Results,"Result indicator","Cost per results","Amount spent (EGP)","CTR (link click-through rate)","Video plays","3-second video plays","Video plays at 25%","Video plays at 50%","Video plays at 75%","Video plays at 100%","CPC (cost per link click) (EGP)","Messaging contacts","Post engagements"
2025-07-01,2025-11-30,"‎‎‎Carisma| botox | 9 - 10",inactive,"7-day click or 1-day view",2802,72.678202,3872,1.38187,"Using ad set budget",0,4,actions:onsite_conversion.messaging_conversation_started_7d,70.3525,281.41,0.542355,,,,,,,13.400476,4,24
2025-07-01,2025-11-30,"‎‎‎Carisma| skin | 9 - 10",inactive,"7-day click or 1-day view",2700,77.722882,3623,1.341852,"Using ad set budget",0,10,actions:onsite_conversion.messaging_conversation_started_7d,28.159,281.59,0.634833,,,,,,,12.243043,10,28
2025-07-01,2025-11-30,"‎‎‎Carisma| EXosome | 9 - 10",inactive,"7-day click or 1-day view",3293,51.871958,5342,1.622229,"Using ad set budget",0,9,actions:onsite_conversion.messaging_conversation_started_7d,30.78888889,277.1,0.355672,,,,,,,14.584211,9,23
2025-07-01,2025-11-30,"Carisma | eng | 9 - 10",inactive,"7-day click or 1-day view",19035,46.508923,26224,1.377673,"Using ad set budget",0,1480,actions:post_engagement,0.82408784,1219.65,1.860891,,,,,,,2.499283,14,1480
2025-07-01,2025-11-30,"Carisma/Eng/Health Day 11-10",inactive,"7-day click or 1-day view",7745,14.330451,10410,1.344093,"Using ad set budget",0,128,actions:post_engagement,1.16546875,149.18,0.614793,,,,,,,2.330938,,128
2025-07-01,2025-11-30,"Carisma/Messg/Health Day 11-10",inactive,"7-day click or 1-day view",2607,54.519146,6842,2.624473,"Using ad set budget",0,27,actions:onsite_conversion.messaging_conversation_started_7d,13.81555556,373.02,0.555393,,,,,,,9.816316,28,46
2025-07-01,2025-11-30,"Carisma/Aware/Health Day 11-10",inactive,"7-day click or 1-day view",31910,3.606538,42154,1.321028,"Using ad set budget",0,31910,reach,4.7643372,152.03,0.083029,,,,,,,4.343714,,38
2025-07-01,2025-11-30,"Carisma/MSG /23 - 10 Go Cut",inactive,"7-day click or 1-day view",19069,57.470879,49191,2.579632,"Using ad set budget",0,68,actions:onsite_conversion.messaging_conversation_started_7d,41.57426471,2827.05,0.42894,,,,,,,13.398341,76,262
2025-07-01,2025-11-30,"Carisma/Messg/15-10 Michael Angelo",inactive,"7-day click or 1-day view",9400,62.815273,19380,2.061702,"Using ad set budget",0,27,actions:onsite_conversion.messaging_conversation_started_7d,45.08740741,1217.36,0.448916,,,,,,,13.992644,32,102
2025-07-01,2025-11-30,"Carisma/Messg/15-10 Luster",inactive,"7-day click or 1-day view",13886,56.645377,20041,1.443252,"Using ad set budget",0,27,actions:onsite_conversion.messaging_conversation_started_7d,42.04555556,1135.23,0.65865,15753,4531,2849,1082,505,262,8.600227,29,4691
2025-07-01,2025-11-30,"Carisma/Messg/15-10 Filler",inactive,"7-day click or 1-day view",4909,51.242174,7028,1.431656,"Using ad set budget",0,8,actions:onsite_conversion.messaging_conversation_started_7d,45.01625,360.13,0.483779,,,,,,,10.592059,11,47
2025-07-01,2025-11-30,"Carisma/Messg/15-10 Botox",inactive,"7-day click or 1-day view",10525,58.312011,19307,1.834394,"Using ad set budget",0,39,actions:onsite_conversion.messaging_conversation_started_7d,28.8674359,1125.83,0.611177,,,,,,,9.540932,42,146
2025-07-01,2025-11-30,"Carisma/Messg/15-10 Amelan Peel",inactive,"7-day click or 1-day view",8348,30.613935,14008,1.678007,"Using ad set budget",0,25,actions:onsite_conversion.messaging_conversation_started_7d,17.1536,428.84,0.442604,,,,,,,6.916774,24,76
2025-07-01,2025-11-30,"‎‎‎‎‎‎‎Carisma 9 / go cut  - MSG - دمياط الجديدة",inactive,-,0,0,0,0,"Using ad set budget",0,,,,0,,,,,,,,,,
2025-07-01,2025-11-30,"Carisma/Messg/15-10 Golden Peel",inactive,"7-day click or 1-day view",5631,47.190061,7808,1.38661,"Using ad set budget",0,12,actions:onsite_conversion.messaging_conversation_started_7d,30.705,368.46,0.53791,,,,,,,8.772857,13,48
2025-07-01,2025-11-30,"Carisma/Messg/15-10 Skin Booster",inactive,"7-day click or 1-day view",11563,75.60095,23571,2.038485,"Using ad set budget",0,59,actions:onsite_conversion.messaging_conversation_started_7d,30.20322034,1781.99,0.619405,,,,,,,12.205411,62,191
2025-07-01,2025-11-30,"Carisma/Messg/15-10 Salmon",inactive,"7-day click or 1-day view",4615,72.087488,8024,1.738678,"Using ad set budget",0,16,actions:onsite_conversion.messaging_conversation_started_7d,36.151875,578.43,0.760219,,,,,,,9.482459,18,79
2025-07-01,2025-11-30,"Carisma/Messg/15-10 Rich",inactive,"7-day click or 1-day view",5510,71.181069,11769,2.135935,"Using ad set budget",0,53,actions:onsite_conversion.messaging_conversation_started_7d,15.80622642,837.73,0.994137,,,,,,,7.160085,54,156
2025-07-01,2025-11-30,"Carisma/Messg/15-10 Profilo",inactive,"7-day click or 1-day view",8247,68.571095,17118,2.075664,"Using ad set budget",0,49,actions:onsite_conversion.messaging_conversation_started_7d,23.95510204,1173.8,0.84122,,,,,,,8.151389,55,174
2025-07-01,2025-11-30,"Carisma/Messg/15-10 Hair Filler",inactive,"7-day click or 1-day view",16458,33.142354,30108,1.829384,"Using ad set budget",0,86,actions:onsite_conversion.messaging_conversation_started_7d,11.60290698,997.85,0.581241,,,,,,,5.702,89,229
2025-07-01,2025-11-30,"Carisma/Messg/15-10 Laser",inactive,"7-day click or 1-day view",26174,43.966806,62060,2.371055,"Using ad set budget",0,141,actions:onsite_conversion.messaging_conversation_started_7d,19.35163121,2728.58,0.555914,,,,,,,7.908928,143,392
2025-07-01,2025-11-30,"Carisma | hiring | 20 - 10",inactive,"7-day click or 1-day view",11290,36.000727,49539,4.387865,"Using ad set budget",0,454,actions:onsite_conversion.messaging_conversation_started_7d,3.92828194,1783.44,2.715033,55,7,5,3,2,2,1.325978,431,1452
2025-07-01,2025-11-30,"Carisma / GO CUT/  MSG | 25 - 10",inactive,"7-day click or 1-day view",3063,46.973002,3667,1.197192,"Using ad set budget",0,4,actions:onsite_conversion.messaging_conversation_started_7d,43.0625,172.25,0.872648,3074,683,401,178,111,52,5.382813,4,721
2025-07-01,2025-11-30,"Carisma / LOSTER /  MSG | 25 - 10 - Copy",inactive,"7-day click or 1-day view",1630,42.99843,1911,1.172393,"Using ad set budget",0,4,actions:onsite_conversion.messaging_conversation_started_7d,20.5425,82.17,0.470958,48,6,3,1,,,9.13,4,15
2025-07-01,2025-11-30,"Carisma / Michael Angelo /  MSG | 25 - 10",inactive,"7-day click or 1-day view",2038,57.133239,2822,1.384691,"Using ad set budget",0,2,actions:onsite_conversion.messaging_conversation_started_7d,80.615,161.23,0.42523,,,,,,,13.435833,3,14
2025-07-01,2025-11-30,"Carisma / LAZER /  MSG | 25 - 10 - Copy 2",inactive,"7-day click or 1-day view",31891,32.80329,76346,2.393967,"Using ad set budget",0,115,actions:onsite_conversion.messaging_conversation_started_7d,21.7773913,2504.4,0.53048,,,,,,,6.183704,119,516
2025-07-01,2025-11-30,"Carisma/Messg/Laser 28-10",inactive,"7-day click or 1-day view",47634,29.401,117045,2.457173,"Using ad set budget",0,182,actions:onsite_conversion.messaging_conversation_started_7d,18.90791209,3441.24,0.507497,,,,,,,5.793333,187,732
2025-07-01,2025-11-30,"Carisma/Sales/Laser 28-10",inactive,"7-day click or 1-day view",12512,26.400577,15947,1.274536,"Using ad set budget",0,15,actions:onsite_conversion.messaging_conversation_started_7d,28.06733333,421.01,0.4076,,,,,,,6.477077,15,79
2025-07-01,2025-11-30,"Carisma | hiring | 20 - 10 - Copy",inactive,"7-day click or 1-day view",24065,31.405903,99509,4.135009,"Using ad set budget",0,632,actions:onsite_conversion.messaging_conversation_started_7d,4.94488924,3125.17,1.657137,21,4,1,,,,1.895191,611,1884
2025-07-01,2025-11-30,"Tailored  3 / 11 Campaign",inactive,"7-day click or 1-day view",1652,75.932203,2537,1.535714,"Using ad set budget",0,3,actions:onsite_conversion.messaging_conversation_started_7d,64.21333333,192.64,0.157667,841,127,38,28,19,4,48.16,4,135
2025-07-01,2025-11-30,"Carisma/Messg/Laser 28-10 - Copy",inactive,"7-day click or 1-day view",47755,31.717274,127947,2.679238,"Using ad set budget",0,197,actions:onsite_conversion.messaging_conversation_started_7d,20.59964467,4058.13,0.493955,,,,,,,6.421092,197,756
2025-07-01,2025-11-30,carisma/Messg/offer,inactive,"7-day click or 1-day view",10298,58.251452,32547,3.160517,"Using ad set budget",0,108,actions:onsite_conversion.messaging_conversation_started_7d,17.55472222,1895.91,0.884874,,,,,,,6.583021,110,370
2025-07-01,2025-11-30,"carisma /Health Day/ Eng 23-11",inactive,"7-day click or 1-day view",10856,17.803852,19261,1.774226,"Using ad set budget",0,201,actions:post_engagement,1.70606965,342.92,0.690515,,,,,,,2.578346,6,201
2025-07-01,2025-11-30,"carisma /Health Day/ Messg 23-11",inactive,"7-day click or 1-day view",2226,38.93908,4826,2.168014,"Using ad set budget",0,3,actions:onsite_conversion.messaging_conversation_started_7d,62.64,187.92,0.310816,,,,,,,12.528,3,22
2025-07-01,2025-11-30,"carisma/Messg/offer - damietta",inactive,"7-day click or 1-day view",8108,45.492874,21963,2.708806,"Using ad set budget",0,50,actions:onsite_conversion.messaging_conversation_started_7d,19.9832,999.16,0.678414,,,,,,,6.705772,51,189
2025-07-01,2025-11-30,"carisma/Messg/ post",inactive,"7-day click or 1-day view",39108,44.406753,82630,2.112867,"Using ad set budget",0,193,actions:onsite_conversion.messaging_conversation_started_7d,19.01207254,3669.33,0.599056,,,,,,,7.412788,203,666
2025-07-01,2025-11-30,"carisma/Messg/ befoer & af after",inactive,"7-day click or 1-day view",34232,35.110576,70540,2.060645,"Using ad set budget",0,126,actions:onsite_conversion.messaging_conversation_started_7d,19.65634921,2476.7,0.640771,,,,,,,5.479425,134,594
2025-07-01,2025-11-30,"carisma/Messg/ post - damietta",inactive,"7-day click or 1-day view",29503,29.493724,67236,2.278955,"Using ad set budget",0,67,actions:onsite_conversion.messaging_conversation_started_7d,29.59761194,1983.04,0.389672,,,,,,,7.568855,67,350
2025-07-01,2025-11-30,"‎carisma 8 / hiring - msg - دمياط‎",inactive,-,0,0,0,0,"Using ad set budget",0,,,,0,,,,,,,,,,
2025-07-01,2025-11-30,"carisma 8 / FILLER - msg - المنصورة",inactive,-,0,0,0,0,"Using ad set budget",0,,,,0,,,,,,,,,,
2025-07-01,2025-11-30,"‎carisma 8 / skin booster - msg - المحلة - DP‎",inactive,-,0,0,0,0,"Using ad set budget",0,,,,0,,,,,,,,,,
2025-07-01,2025-11-30,"‎carisma 8 / FILLER - msg - دمياط الجديدة‎",inactive,-,0,0,0,0,"Using ad set budget",0,,,,0,,,,,,,,,,
